"passportArea.name","passportArea.id","passportArea.alpha3code","passportArea.alpha2code","weight","firstName","middleName","lastName","currentTeamId","birthDate","height","role.code2","role.code3","role.name","birthArea.name","birthArea.id","birthArea.alpha3code","birthArea.alpha2code","wyId","foot","shortName","currentNationalTeamId"
"Venezuela","862","VEN","VE",71,"Roberto Jos\u00e9","","Rosales Altuve","683","1988-11-20",175,"DF","DEF","Defender","Venezuela","862","VEN","VE",254,"right","R. Rosales","null"
"Morocco","504","MAR","MA",80,"Nacer","","Chadli","1627","1989-08-02",187,"MD","MID","Midfielder","Belgium","56","BEL","BE",261,"right","N. Chadli","5629"
"Netherlands","528","NLD","NL",76,"Robin","","Gosens","3172","1994-06-05",183,"DF","DEF","Defender","Germany","276","DEU","DE",295176,"left","R. Gosens","null"
"Morocco","504","MAR","MA",78,"Yacine","","Bammou","3770","1991-09-11",188,"FW","FWD","Forward","France","250","FRA","FR",229697,"right","Y. Bammou","null"
"France","250","FRA","FR",86,"Florian","","Le Joncour","3783","1995-02-03",193,"DF","DEF","Defender","France","250","FRA","FR",328021,"left","F. Le Joncour","null"
"Brazil","76","BRA","BR",78,"Andr\u00e9","","Ramalho Silva","8743","1992-02-16",182,"DF","DEF","Defender","Brazil","76","BRA","BR",65880,"right","Andr\u00e9 Ramalho","null"
"Italy","380","ITA","IT",69,"Davide","","Borsellini","3163","1999-01-04",180,"GK","GKP","Goalkeeper","Italy","380","ITA","IT",393566,"left","D. Borsellini","null"
"Nigeria","566","NGA","NG",81,"Leon-Aderemi","","Balogun","1651","1988-06-28",190,"DF","DEF","Defender","Germany","276","DEU","DE",16443,"right","L. Balogun","16823"
"Ghana","288","GHA","GH",70,"Godfred","","Donsah","3166","1996-06-07",175,"MD","MID","Midfielder","Ghana","288","GHA","GH",295273,"right","G. Donsah","17527"
"Korea Republic","410","KOR","KR",82,"Hyun-Jun","","Suk","3795","1991-06-29",190,"FW","FWD","Forward","Korea Republic","410","KOR","KR",382,"right","Suk Hyun-Jun","null"
"Serbia","688","SRB","RS",76,"Du\u0161an","","Tadi\u0107","9","1988-11-20",181,"MD","MID","Midfielder","Serbia","688","SRB","RS",383,"left","D. Tadi\u0107","17322"
"Netherlands","528","NLD","NL",80,"Bram","","Nuytinck","3163","1990-05-04",190,"DF","DEF","Defender","Netherlands","528","NLD","NL",394,"left","B. Nuytinck","null"
"Denmark","208","DNK","DK",78,"Lasse","","Sch\u00f6ne","9","1986-05-27",177,"MD","MID","Midfielder","Denmark","208","DNK","DK",405,"right","L. Sch\u00f6ne","7712"
"Gambia","270","GMB","GM",56,"Ablie","","Jallow","3777","1998-11-14",166,"MD","MID","Midfielder","Gambia","270","GMB","GM",376908,"left","A. Jallow","null"
"Romania","642","ROU","RO",75,"Bogdan Sorin","","Stancu","4502","1987-06-28",183,"FW","FWD","Forward","Romania","642","ROU","RO",33235,"right","B. Stancu","null"
"Switzerland","756","CHE","CH",90,"Gregor","","Kobel","2482","1997-12-06",194,"GK","GKP","Goalkeeper","Switzerland","756","CHE","CH",328190,"right","G. Kobel","null"
"Congo DR","180","COD","CD",80,"Denis Lemi","","Zakaria Lako Lado","2454","1996-11-20",191,"MD","MID","Midfielder","Switzerland","756","CHE","CH",360992,"right","D. Zakaria","6697"
"Netherlands","528","NLD","NL",76,"Marten","","de Roon","3172","1991-03-29",185,"MD","MID","Midfielder","Netherlands","528","NLD","NL",625,"right","M. de Roon","null"
"England","0","XEN","",75,"Alex","","Iwobi","1609","1996-05-03",180,"MD","MID","Midfielder","Nigeria","566","NGA","NG",230020,"right","A. Iwobi","16823"
"Italy","380","ITA","IT",77,"Lorenzo","","Pellegrini","3158","1996-06-19",186,"MD","MID","Midfielder","Italy","380","ITA","IT",328333,"right","L. Pellegrini","3757"
"Algeria","12","DZA","DZ",75,"Mohamed Salim","","Fares","3194","1996-02-15",183,"FW","FWD","Forward","France","250","FRA","FR",328336,"left","M. Fares","null"
"Brazil","76","BRA","BR",73,"Ot\u00e1vio Henrique","","Passos Santos","3772","1994-05-04",176,"MD","MID","Midfielder","Brazil","76","BRA","BR",295569,"right","Ot\u00e1vio","null"
"Argentina","32","ARG","AR",72,"Hern\u00e1n Dar\u00edo","","Toledo","714","1996-01-17",180,"FW","FWD","Forward","Argentina","32","ARG","AR",393881,"right","H. Toledo","null"
"Japan","392","JPN","JP",78,"Maya","","Yoshida","1619","1988-08-24",189,"DF","DEF","Defender","Japan","392","JPN","JP",703,"right","M. Yoshida","12913"
"Congo","178","COG","CG",78,"Bryan","","Passi","3787","1997-08-05",189,"DF","DEF","Defender","France","250","FRA","FR",426692,"right","B. Passi","null"
"C\u00f4te d'Ivoire","384","CIV","CI",73,"Hamza","","Mendyl","2449","1997-10-21",179,"DF","DEF","Defender","Morocco","504","MAR","MA",426702,"left","H. Mendyl","16216"
"France","250","FRA","FR",70,"Anthony","","Caci","3779","1997-07-01",184,"MD","MID","Midfielder","France","250","FRA","FR",426714,"right","A. Caci","null"
"Spain","724","ESP","ES",77,"Miguel \u00c1ngel","","Guerrero Mart\u00edn","712","1990-07-12",182,"FW","FWD","Forward","Spain","724","ESP","ES",5481,"right","Guerrero","null"
"Slovakia","703","SVK","SK",75,"R\u00f3bert","","Maz\u00e1\u0148","692","1994-02-09",180,"DF","DEF","Defender","Slovakia","703","SVK","SK",786,"left","R. Maz\u00e1\u0148","14496"
"France","250","FRA","FR",71,"Martin","","Terrier","3779","1997-03-04",183,"FW","FWD","Forward","France","250","FRA","FR",394006,"right","M. Terrier","4425"
"Nigeria","566","NGA","NG",72,"Tyronne","","Ebuehi","9607","1995-12-16",187,"DF","DEF","Defender","Netherlands","528","NLD","NL",332821,"right","T. Ebuehi","16823"
"France","250","FRA","FR",65,"Patrick","","Burner","3775","1996-04-11",170,"DF","DEF","Defender","Martinique","474","MTQ","MQ",328488,"right","P. Burner","null"
"France","250","FRA","FR",64,"Samuel","","Grandsir","3795","1996-08-14",168,"FW","FWD","Forward","France","250","FRA","FR",295761,"right","S. Grandsir","4425"
"Spain","724","ESP","ES",0,"V\u00edctor","","L\u00f3pez Ib\u00e1\u00f1ez","696","1997-05-12",0,"DF","DEF","Defender","Spain","724","ESP","ES",404285,"right","V\u00edctor L\u00f3pez","null"
"C\u00f4te d'Ivoire","384","CIV","CI",65,"Jean Micha\u00ebl","","Seri","3775","1991-07-19",168,"MD","MID","Midfielder","C\u00f4te d'Ivoire","384","CIV","CI",131959,"right","J. Seri","null"
"Spain","724","ESP","ES",77,"Gerard","","Gumbau Garriga","712","1994-12-18",187,"MD","MID","Midfielder","Spain","724","ESP","ES",263091,"left","Gumbau","null"
"Spain","724","ESP","ES",68,"Pablo","","Maffeo Becerra","756","1997-07-12",173,"DF","DEF","Defender","Spain","724","ESP","ES",263105,"right","Pablo Maffeo","1604"
"Poland","616","POL","PL",78,"Artur","","J\u0119drzejczyk","13505","1987-11-04",189,"DF","DEF","Defender","Poland","616","POL","PL",99381,"right","A. J\u0119drzejczyk","13869"
"Poland","616","POL","PL",75,"Maciej","","Rybus","13887","1989-08-19",173,"DF","DEF","Defender","Poland","616","POL","PL",99391,"left","M. Rybus","13869"
"Poland","616","POL","PL",82,"Marcin","","Kami\u0144ski","2445","1992-01-15",192,"DF","DEF","Defender","Poland","616","POL","PL",99410,"left","M. Kami\u0144ski","null"
"Austria","40","AUT","AT",76,"Karim","","Onisiwo","2460","1992-03-17",188,"MD","MID","Midfielder","Austria","40","AUT","AT",66654,"right","K. Onisiwo","null"
"Poland","616","POL","PL",83,"\u0141ukasz","","Skorupski","3158","1991-05-05",190,"GK","GKP","Goalkeeper","Poland","616","POL","PL",99430,"right","\u0141. Skorupski","null"
"Poland","616","POL","PL",76,"Pawe\u0142","","Olkowski","2463","1990-02-13",184,"DF","DEF","Defender","Poland","616","POL","PL",99437,"right","P. Olkowski","null"
"Poland","616","POL","PL",78,"Arkadiusz","","Milik","3187","1994-02-28",186,"FW","FWD","Forward","Poland","616","POL","PL",99452,"left","A. Milik","13869"
"Italy","380","ITA","IT",76,"Gianluca","","Pegolo","3315","1981-03-25",183,"GK","GKP","Goalkeeper","Italy","380","ITA","IT",20771,"left","G. Pegolo","null"
"Poland","616","POL","PL",72,"Mariusz","","St\u0119pi\u0144ski","3165","1995-05-12",183,"FW","FWD","Forward","Poland","616","POL","PL",99511,"right","M. St\u0119pi\u0144ski","null"
"Croatia","191","HRV","HR",89,"Duje","","\u0106aleta-Car","3771","1996-09-17",192,"DF","DEF","Defender","Croatia","191","HRV","HR",230626,"right","D. \u0106aleta-Car","9598"
"Lithuania","440","LTU","LT",92,"Edvinas","","Gertmonas","3774","1996-06-01",192,"GK","GKP","Goalkeeper","Lithuania","440","LTU","LT",240507,"right","E. Gertmonas","13503"
"Germany","276","DEU","DE",70,"Jonathan","","Klinsmann","2457","1997-04-08",194,"GK","GKP","Goalkeeper","United States","840","USA","US",492782,"right","J. Klinsmann","8140"
"Italy","380","ITA","IT",80,"Francesco","","Vicari","3204","1994-08-03",190,"DF","DEF","Defender","Italy","380","ITA","IT",263432,"right","F. Vicari","null"
"Italy","380","ITA","IT",70,"Alex","","Ferrari","3194","1994-07-01",183,"DF","DEF","Defender","Italy","380","ITA","IT",263433,"right","A. Ferrari","null"
"Croatia","191","HRV","HR",88,"Emil","","Berggreen","2460","1993-05-10",194,"FW","FWD","Forward","Denmark","208","DNK","DK",230687,"right","E. Berggreen","null"
"Poland","616","POL","PL",88,"Igor","","Lewczuk","3772","1985-05-30",189,"DF","DEF","Defender","Poland","616","POL","PL",99633,"right","I. Lewczuk","null"
"Mali","466","MLI","ML",76,"Cheick","","Keita","3166","1996-04-16",182,"DF","DEF","Defender","France","250","FRA","FR",361779,"left","C. Keita","19001"
"Spain","724","ESP","ES",69,"Carlos","","Calder\u00f3n L\u00f3pez","698","1995-04-14",182,"MD","MID","Midfielder","Spain","724","ESP","ES",329026,"right","Carlos Calder\u00f3n","null"
"Poland","616","POL","PL",80,"Thiago","","Rangel Cionek","3204","1986-04-21",183,"DF","DEF","Defender","Brazil","76","BRA","BR",99661,"right","T. Cionek","13869"
"Uruguay","858","URY","UY",73,"Rodrigo","","Bentancur Colm\u00e1n","3159","1997-06-25",185,"MD","MID","Midfielder","Uruguay","858","URY","UY",361807,"right","R. Bentancur","15670"
"Brazil","76","BRA","BR",76,"Bernardo","","Fernandes da Silva Junior","2975","1995-05-14",186,"DF","DEF","Defender","Brazil","76","BRA","BR",296341,"left","Bernardo","null"
"Poland","616","POL","PL",81,"Rafa\u0142","","Gikiewicz","2453","1987-10-26",190,"GK","GKP","Goalkeeper","Poland","616","POL","PL",99749,"right","R. Gikiewicz","null"
"Italy","380","ITA","IT",85,"Alessandro","","Deiola","3173","1995-08-01",190,"MD","MID","Midfielder","Italy","380","ITA","IT",263591,"right","A. Deiola","null"
"Afghanistan","4","AFG","AF",73,"Nadiem","","Amiri","2482","1996-10-27",180,"MD","MID","Midfielder","Germany","276","DEU","DE",263614,"right","N. Amiri","3155"
"Spain","724","ESP","ES",78,"Yeray","","\u00c1lvarez L\u00f3pez","678","1995-01-24",183,"DF","DEF","Defender","Spain","724","ESP","ES",230857,"right","Yeray","null"
"Spain","724","ESP","ES",73,"\u00cd\u00f1igo","","Lekue Mart\u00ednez","678","1993-05-04",180,"DF","DEF","Defender","Spain","724","ESP","ES",230862,"right","Lekue","null"
"Egypt","818","EGY","EG",84,"Ali","","Gabr","27533","1989-01-10",193,"DF","DEF","Defender","Egypt","818","EGY","EG",198120,"right","Ali Gabr","16129"
"Spain","724","ESP","ES",70,"Pere","","Pons Riera","756","1993-02-20",177,"MD","MID","Midfielder","Spain","724","ESP","ES",230895,"right","Pere Pons","null"
"Italy","380","ITA","IT",65,"Federico Nicol\u00e1s","","Cartabia","677","1993-01-20",169,"MD","MID","Midfielder","Argentina","32","ARG","AR",230897,"left","Fede Cartabia","null"
"Poland","616","POL","PL",77,"Bartosz","","Bereszy\u0144ski","3164","1992-07-12",183,"DF","DEF","Defender","Poland","616","POL","PL",99833,"right","B. Bereszy\u0144ski","13869"
"Iceland","352","ISL","IS",81,"\u00d3lafur Ingi","","Sk\u00falason","7727","1983-04-01",183,"MD","MID","Midfielder","Iceland","352","ISL","IS",38241,"right","\u00d3. Sk\u00falason","7839"
"Germany","276","DEU","DE",79,"Dominik","","Kohr","2446","1994-01-31",183,"MD","MID","Midfielder","Germany","276","DEU","DE",165425,"right","D. Kohr","null"
"Poland","616","POL","PL",75,"Piotr","","Zieli\u0144ski","3187","1994-05-20",180,"MD","MID","Midfielder","Poland","616","POL","PL",99902,"right","P. Zieli\u0144ski","13869"
"Brazil","76","BRA","BR",77,"Jemerson","","de Jesus Nascimento","19830","1992-08-24",184,"DF","DEF","Defender","Brazil","76","BRA","BR",263766,"right","Jemerson","null"
"Congo DR","180","COD","CD",72,"Youri","","Tielemans","19830","1997-05-07",176,"MD","MID","Midfielder","Belgium","56","BEL","BE",263802,"right","Y. Tielemans","5629"
"Belgium","56","BEL","BE",80,"Timothy","","Castagne","3172","1995-12-05",185,"DF","DEF","Defender","Belgium","56","BEL","BE",263803,"right","T. Castagne","null"
"Ghana","288","GHA","GH",71,"Kenny","","Tete","3766","1995-10-09",180,"DF","DEF","Defender","Netherlands","528","NLD","NL",1712,"right","K. Tete","664"
"Denmark","208","DNK","DK",71,"Viktor","","Fischer","7452","1994-06-09",180,"FW","FWD","Forward","Denmark","208","DNK","DK",1722,"right","V. Fischer","7712"
"Cura\u00e7ao","531","CUW","CW",74,"Riechedly","","Bazoer","2451","1996-10-12",184,"MD","MID","Midfielder","Netherlands","528","NLD","NL",1729,"right","R. Bazoer","670"
"Morocco","504","MAR","MA",80,"Oussama","","Tannane","3782","1994-03-23",177,"FW","FWD","Forward","Netherlands","528","NLD","NL",1751,"left","O. Tannane","null"
"Congo DR","180","COD","CD",67,"Presnel","","Kimpembe","3767","1995-08-13",183,"DF","DEF","Defender","France","250","FRA","FR",231138,"left","P. Kimpembe","4418"
"France","250","FRA","FR",71,"Kingsley","","Coman","2444","1996-06-13",178,"FW","FWD","Forward","France","250","FRA","FR",231139,"right","K. Coman","null"
"Brazil","76","BRA","BR",73,"Gabriel","","Barbosa Almeida","5655","1996-08-30",178,"FW","FWD","Forward","Brazil","76","BRA","BR",263948,"left","Gabigol","null"
"Mauritania","478","MRT","MR",71,"Mamadou","","Sissako","3795","1996-04-20",171,"FW","FWD","Forward","France","250","FRA","FR",231184,"right","M. Sissako","null"
"Turkey","792","TUR","TR",71,"\u015eener","","\u00d6zbayrakl\u0131","4487","1990-01-23",171,"DF","DEF","Defender","Turkey","792","TUR","TR",34592,"right","\u015e. \u00d6zbayrakl\u0131","null"
"Russia","643","RUS","RU",86,"Andrey","","Semenov","13898","1989-03-24",190,"DF","DEF","Defender","Russia","643","RUS","RU",102629,"right","A. Semenov","14358"
"France","250","FRA","FR",71,"Yoel","","Armougom","3783","1998-06-05",173,"DF","DEF","Defender","Reunion","638","REU","RE",493412,"left","Y. Armougom","null"
"C\u00f4te d'Ivoire","384","CIV","CI",70,"K\u00e9vin Lucien","","Zohi","3779","1996-12-19",177,"FW","FWD","Forward","C\u00f4te d'Ivoire","384","CIV","CI",493415,"right","K. Zohi","null"
"Spain","724","ESP","ES",79,"Igor","","Zubeld\u00eda Elorza","687","1997-03-30",180,"MD","MID","Midfielder","Spain","724","ESP","ES",395114,"right","Zubeld\u00eda","1604"
"New Caledonia","540","NCL","NC",74,"George","","Gope-Fenepej","3789","1988-10-23",182,"FW","FWD","Forward","New Caledonia","540","NCL","NC",132972,"right","G. Gope-Fenepej","null"
"Italy","380","ITA","IT",80,"Pierluigi","","Gollini","3172","1995-03-18",188,"GK","GKP","Goalkeeper","Italy","380","ITA","IT",264084,"right","P. Gollini","null"
"Spain","724","ESP","ES",78,"Ezequiel","","Ponce Mart\u00ednez","3776","1997-03-29",178,"FW","FWD","Forward","Argentina","32","ARG","AR",284322,"right","E. Ponce","12281"
"Italy","380","ITA","IT",70,"Enrico","","Bearzotti","3194","1996-10-20",180,"MD","MID","Midfielder","Italy","380","ITA","IT",388099,"right","E. Bearzotti","null"
"Italy","380","ITA","IT",90,"Emiliano","","Viviano","3164","1985-12-01",195,"GK","GKP","Goalkeeper","Italy","380","ITA","IT",20802,"left","E. Viviano","null"
"Uruguay","858","URY","UY",87,"Maximiliano","","G\u00f3mez Gonz\u00e1lez","692","1996-08-14",186,"FW","FWD","Forward","Uruguay","858","URY","UY",395636,"right","Maxi G\u00f3mez","15670"
"Mauritania","478","MRT","MR",79,"Moctar El Hacen","","El Id","695","1997-12-31",181,"MD","MID","Midfielder","Mauritania","478","MRT","MR",264778,"right","M. El Id","null"
"Albania","8","ALB","AL",78,"Thomas","","Strakosha","3162","1995-03-19",186,"GK","GKP","Goalkeeper","Greece","300","GRC","GR",166534,"right","T. Strakosha","null"
"France","250","FRA","FR",78,"Marcus","","Coco","3785","1996-06-24",184,"MD","MID","Midfielder","Guadeloupe","312","GLP","GP",330387,"right","M. Coco","null"
"Finland","246","FIN","FI",83,"Joel","","Pohjanpalo","2446","1994-09-13",185,"FW","FWD","Forward","Finland","246","FIN","FI",35477,"right","J. Pohjanpalo","4849"
"Peru","604","PER","PE",67,"Miguel \u00c1ngel","","Trauco Saavedra","5654","1992-08-25",175,"DF","DEF","Defender","Peru","604","PER","PE",115146,"left","M. Trauco","15594"
"France","250","FRA","FR",72,"Vincent","","Laurini","3176","1989-06-10",173,"DF","DEF","Defender","France","250","FRA","FR",22313,"right","V. Laurini","null"
"Congo DR","180","COD","CD",67,"Firmin Ndombe","","Mubele","3780","1994-04-17",170,"FW","FWD","Forward","Congo DR","180","COD","CD",264989,"right","F. Mubele","18538"
"Czech Republic","203","CZE","CZ",86,"Anton\u00edn","","Bar\u00e1k","3163","1994-12-03",190,"MD","MID","Midfielder","Czech Republic","203","CZE","CZ",265172,"left","A. Bar\u00e1k","11555"
"Nigeria","566","NGA","NG",85,"Manuel","","Akanji","2447","1995-07-19",187,"DF","DEF","Defender","Switzerland","756","CHE","CH",297957,"right","M. Akanji","6697"
"Spain","724","ESP","ES",67,"Samuel ","","Castillejo Azuaga","682","1995-01-18",182,"MD","MID","Midfielder","Spain","724","ESP","ES",134174,"left","Samu Castillejo","null"
"Serbia","688","SRB","RS",82,"Filip","","Manojlovi\u0107","698","1996-04-25",197,"GK","GKP","Goalkeeper","Serbia","688","SRB","RS",363560,"right","F. Manojlovi\u0107","32344"
"Spain","724","ESP","ES",73,"Rub\u00e9n","","Sobrino Pozuelo","696","1992-02-16",185,"FW","FWD","Forward","Spain","724","ESP","ES",134249,"right","Rub\u00e9n Sobrino","null"
"Paraguay","600","PRY","PY",65,"Julio C\u00e9sar","","Villalba Gaona","2454","1998-09-11",174,"FW","FWD","Forward","Paraguay","600","PRY","PY",363648,"right","J. Villalba","15519"
"Nigeria","566","NGA","NG",80,"Onyinye Wilfred","","Ndidi","1631","1996-12-16",187,"MD","MID","Midfielder","Nigeria","566","NGA","NG",265366,"right","W. Ndidi","16823"
"Nigeria","566","NGA","NG",72,"Abdullahi","","Shehu","4502","1993-03-12",181,"DF","DEF","Defender","Nigeria","566","NGA","NG",265368,"right","A. Shehu","16823"
"Slovakia","703","SVK","SK",70,"Tom\u00e1\u0161","","Hubo\u010dan","4488","1985-09-17",184,"DF","DEF","Defender","Slovakia","703","SVK","SK",101555,"right","T. Hubo\u010dan","14496"
"Brazil","76","BRA","BR",83,"Bruno Eduardo","","Regufe Alves","3160","1981-11-27",187,"DF","DEF","Defender","Portugal","620","PRT","PT",101558,"right","Bruno Alves","9905"
"Morocco","504","MAR","MA",68,"Achraf","","Hakimi Mouh","2447","1998-11-04",179,"DF","DEF","Defender","Spain","724","ESP","ES",396475,"right","A. Hakimi","16216"
"Spain","724","ESP","ES",72,"Eloi","","Amagat Arimany","756","1985-05-21",180,"MD","MID","Midfielder","Spain","724","ESP","ES",167104,"right","Eloi Amagat","null"
"Spain","724","ESP","ES",81,"Vicente","","Guaita Panadero","698","1987-01-10",190,"GK","GKP","Goalkeeper","Spain","724","ESP","ES",3267,"right","Guaita","null"
"Spain","724","ESP","ES",68,"Jordi","","Alba Ramos","676","1989-03-21",170,"DF","DEF","Defender","Spain","724","ESP","ES",3269,"left","Jordi Alba","1598"
"Spain","724","ESP","ES",76,"Antonio","","Barrag\u00e1n Fern\u00e1ndez","684","1987-06-12",183,"DF","DEF","Defender","Spain","724","ESP","ES",3270,"right","Barrag\u00e1n","null"
"Russia","643","RUS","RU",82,"Igor","","Akinfeev","13886","1986-04-08",186,"GK","GKP","Goalkeeper","Russia","643","RUS","RU",101576,"right","I. Akinfeev","14358"
"Morocco","504","MAR","MA",90,"Adil","","Rami","3771","1985-12-27",190,"DF","DEF","Defender","France","250","FRA","FR",3276,"right","A. Rami","4418"
"Spain","724","ESP","ES",78,"V\u00edctor","","Ru\u00edz Torre","682","1989-01-25",185,"DF","DEF","Defender","Spain","724","ESP","ES",3277,"left","V\u00edctor Ru\u00edz","null"
"Spain","724","ESP","ES",75,"Sabin","","Merino Zuloaga","678","1992-01-04",187,"FW","FWD","Forward","Spain","724","ESP","ES",167119,"right","Sabin Merino","null"
"Spain","724","ESP","ES",71,"\u00c9ver Maximiliano David","","Banega","680","1988-06-29",174,"MD","MID","Midfielder","Argentina","32","ARG","AR",3280,"right","\u00c9. Banega","12274"
